,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position
1788,Beloit College Baccalaureate WISCONSIN,"$70,800",0.2%,33,"$89,600",97.5,1596
2737,Beloit College Baccalaureate WISCONSIN,"$60,600",0.9%,22,"$76,300",95.1,1601
3686,Beloit College Baccalaureate WISCONSIN,"$54,000",-0.7%,17,"$69,400",104.0,1606
930,Benedictine College Baccalaureate KANSAS,"$71,300",,23,"$84,200",101.7,1591
1879,Benedictine College Baccalaureate KANSAS,"$63,500",7.7%,26,"$74,000",103.1,1596
2828,Benedictine College Baccalaureate KANSAS,"$61,300",12.8%,55,"$73,100",92.3,1601
3777,Benedictine College Baccalaureate KANSAS,"$73,500",,8,"$81,500",120.4,1606
315,Bentley University Master MASSACHUSETTS,"$166,200",4.8%,83,"$205,100",99.4,1591
1262,Bentley University Master MASSACHUSETTS,"$117,400",4.0%,76,"$149,300",101.3,1596
2211,Bentley University Master MASSACHUSETTS,"$118,600",3.3%,39,"$146,600",98.7,1601
3160,Bentley University Master MASSACHUSETTS,$0,,0,-,,1606
258,Berea College Baccalaureate KENTUCKY,"$91,500",6.0%,37,"$116,600",99.1,1591
1205,Berea College Baccalaureate KENTUCKY,"$73,500",5.7%,58,"$93,700",98.4,1596
2154,Berea College Baccalaureate KENTUCKY,"$60,500",7.4%,33,"$77,400",97.9,1601
3103,Berea College Baccalaureate KENTUCKY,"$52,100",8.7%,8,"$65,400",103.0,1606
140,Berry College Master GEORGIA,"$93,800",3.6%,38,"$122,500",92.3,1591
1087,Berry College Master GEORGIA,"$73,600",3.1%,48,"$96,900",92.8,1596
2036,Berry College Master GEORGIA,"$63,500",3.0%,62,"$85,400",101.9,1601
2985,Berry College Master GEORGIA,"$57,400",3.0%,6,"$77,900",78.8,1606
196,Bethel College-Indiana Baccalaureate INDIANA,"$63,400",0.0%,8,"$83,800",93.5,1591
1143,Bethel College-Indiana Baccalaureate INDIANA,"$55,900",0.0%,28,"$76,400",100.5,1596
2092,Bethel College-Indiana Baccalaureate INDIANA,"$47,100",0.5%,31,"$76,900",100.2,1601
3041,Bethel College-Indiana Baccalaureate INDIANA,$0,,0,-,,1606
372,Bethel University Master MINNESOTA,"$79,700",3.5%,84,"$104,500",99.5,1591
1319,Bethel University Master MINNESOTA,"$68,500",5.2%,88,"$91,800",97.9,1596
2268,Bethel University Master MINNESOTA,"$57,000",3.7%,24,"$78,900",94.7,1601
3217,Bethel University Master MINNESOTA,"$59,300",3.1%,27,"$82,200",108.7,1606
115,Bethune-Cookman University Baccalaureate FLORIDA,"$84,700",1.3%,21,"$106,500",119.2,1591
1062,Bethune-Cookman University Baccalaureate FLORIDA,"$62,700",0.7%,35,"$75,700",105.8,1596
2011,Bethune-Cookman University Baccalaureate FLORIDA,"$58,000",0.0%,80,"$75,900",118.4,1601
2960,Bethune-Cookman University Baccalaureate FLORIDA,"$51,200",2.0%,57,"$67,400",93.7,1606
1,Birmingham Southern College Baccalaureate ALABAMA,"$80,400",0.3%,38,"$102,800",95.5,1591
948,Birmingham Southern College Baccalaureate ALABAMA,"$73,900",4.9%,22,"$93,300",99.7,1596
1897,Birmingham Southern College Baccalaureate ALABAMA,"$61,200",2.9%,20,"$70,200",107.7,1601
2846,Birmingham Southern College Baccalaureate ALABAMA,"$41,100",,11,"$53,100",95.2,1606
559,Bismarck State College Associate with Ranks NORTH DAKOTA,"$69,700",0.0%,7,"$99,400",92.5,1591
1506,Bismarck State College Associate with Ranks NORTH DAKOTA,"$56,300",0.2%,66,"$85,100",93.3,1596
2455,Bismarck State College Associate with Ranks NORTH DAKOTA,"$52,000",2.5%,43,"$84,500",100.2,1601
3404,Bismarck State College Associate with Ranks NORTH DAKOTA,$0,0.0%,2,-,79.7,1606
432,Bloomfield College Baccalaureate NEW JERSEY,"$97,500",0.0%,30,"$131,200",99.3,1591
1379,Bloomfield College Baccalaureate NEW JERSEY,"$79,000",0.0%,20,"$105,700",99.2,1596
2328,Bloomfield College Baccalaureate NEW JERSEY,"$66,100",0.0%,18,"$87,200",99.0,1601
3277,Bloomfield College Baccalaureate NEW JERSEY,$0,,0,-,,1606
637,Bloomsburg University of Pennsylvania Master PENNSYLVANIA,"$111,600",2.0%,127,"$134,600",98.0,1591
1585,Bloomsburg University of Pennsylvania Master PENNSYLVANIA,"$87,700",3.0%,96,"$108,800",100.7,1596
2534,Bloomsburg University of Pennsylvania Master PENNSYLVANIA,"$70,100",3.6%,126,"$87,500",97.8,1601
3483,Bloomsburg University of Pennsylvania Master PENNSYLVANIA,"$50,500",5.9%,70,"$62,500",101.8,1606
793,Bluefield College Baccalaureate VIRGINIA,"$55,300",0.8%,11,"$71,900",92.3,1591
1742,Bluefield College Baccalaureate VIRGINIA,"$48,100",0.0%,10,"$69,100",117.9,1596
2691,Bluefield College Baccalaureate VIRGINIA,"$47,900",0.0%,13,"$59,500",90.6,1601
3640,Bluefield College Baccalaureate VIRGINIA,$0,0.0%,2,-,105.6,1606
566,Bluffton University Baccalaureate OHIO,"$61,600",1.0%,20,-,108.4,1591
1513,Bluffton University Baccalaureate OHIO,"$56,200",2.0%,9,-,109.8,1596
2462,Bluffton University Baccalaureate OHIO,"$47,200",1.9%,24,-,79.3,1601
3411,Bluffton University Baccalaureate OHIO,$0,,0,-,,1606
316,Boston College Doctoral MASSACHUSETTS,"$182,800",3.1%,283,"$230,300",93.1,1591
1263,Boston College Doctoral MASSACHUSETTS,"$118,500",3.5%,275,"$156,800",93.7,1596
2212,Boston College Doctoral MASSACHUSETTS,"$109,300",4.3%,195,"$137,000",89.0,1601
3161,Boston College Doctoral MASSACHUSETTS,"$73,000",3.8%,53,"$91,200",101.0,1606
317,Boston University Doctoral MASSACHUSETTS,"$183,600",3.6%,519,"$242,000",97.3,1591
1264,Boston University Doctoral MASSACHUSETTS,"$124,800",4.9%,341,"$168,500",96.8,1596
2213,Boston University Doctoral MASSACHUSETTS,"$105,000",6.1%,321,"$138,400",95.1,1601
3162,Boston University Doctoral MASSACHUSETTS,"$108,900",5.5%,284,"$171,200",80.7,1606
