,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position,State,Category
1888,Mount Marty College ,79300,2.7,16.0,104900.0,110.1,aP,DAKOTA,Baccalaureate
1889,Mount Marty College ,44500,2.5,5.0,52000.0,114.0,I,DAKOTA,Baccalaureate
1890,Mount Saint Joseph University ,71300,,15.0,85200.0,86.3,P,OHIO,Master
1891,Mount Saint Joseph University ,60000,0.2,31.0,78200.0,97.5,AP,OHIO,Master
1892,Mount Saint Joseph University ,56000,1.2,30.0,78600.0,98.9,aP,OHIO,Master
1893,Mount Saint Joseph University ,49900,4.4,18.0,69900.0,93.9,I,OHIO,Master
1894,Mount Saint Mary College ,95300,2.0,23.0,122300.0,86.4,P,YORK,Baccalaureate
1895,Mount Saint Mary College ,72800,2.6,31.0,95200.0,100.4,AP,YORK,Baccalaureate
1896,Mount Saint Mary College ,68200,2.9,28.0,83300.0,99.6,aP,YORK,Baccalaureate
1897,Mount Saint Mary College ,60200,2.0,7.0,75800.0,97.0,I,YORK,Baccalaureate
1898,Mount St Mary's University ,96800,9.0,25.0,117100.0,93.6,P,MARYLAND,Master
1899,Mount St Mary's University ,73800,-0.7,42.0,92000.0,98.6,AP,MARYLAND,Master
1900,Mount St Mary's University ,65500,,46.0,83300.0,99.4,aP,MARYLAND,Master
1901,Mount St Mary's University ,0,,2.0,,115.8,I,MARYLAND,Master
1902,Muhlenberg College ,103800,2.2,58.0,140800.0,90.1,P,PENNSYLVANIA,Baccalaureate
1903,Muhlenberg College ,81900,2.4,46.0,108200.0,99.5,AP,PENNSYLVANIA,Baccalaureate
1904,Muhlenberg College ,68900,2.5,48.0,89600.0,98.7,aP,PENNSYLVANIA,Baccalaureate
1905,Muhlenberg College ,0,,0.0,,,I,PENNSYLVANIA,Baccalaureate
1906,Murray State University ,86900,2.6,87.0,123700.0,87.0,P,KENTUCKY,Master
1907,Murray State University ,70300,3.5,107.0,98500.0,92.0,AP,KENTUCKY,Master
1908,Murray State University ,59600,1.7,150.0,82100.0,95.8,aP,KENTUCKY,Master
1909,Murray State University ,0,,1.0,,,I,KENTUCKY,Master
1910,National University ,130400,2.1,108.0,163900.0,98.0,P,CALIFORNIA,Master
1911,National University ,95000,2.4,75.0,123100.0,99.4,AP,CALIFORNIA,Master
1912,National University ,79000,2.5,59.0,106400.0,104.8,aP,CALIFORNIA,Master
1913,National University ,73100,1.1,12.0,96500.0,98.7,I,CALIFORNIA,Master
1914,Nazareth College ,88400,2.0,61.0,115000.0,94.0,P,YORK,Master
1915,Nazareth College ,74800,2.5,46.0,104500.0,102.3,AP,YORK,Master
1916,Nazareth College ,65000,2.6,66.0,83700.0,104.1,aP,YORK,Master
1917,Nazareth College ,0,,0.0,,,I,YORK,Master
1918,Nebraska Wesleyan University ,69200,2.9,42.0,90600.0,92.3,P,NEBRASKA,Baccalaureate
1919,Nebraska Wesleyan University ,60200,4.6,32.0,85700.0,101.1,AP,NEBRASKA,Baccalaureate
1920,Nebraska Wesleyan University ,55600,4.4,26.0,73700.0,96.7,aP,NEBRASKA,Baccalaureate
1921,Nebraska Wesleyan University ,50900,4.6,11.0,67800.0,96.6,I,NEBRASKA,Baccalaureate
1922,Neumann University ,82400,2.6,20.0,115500.0,105.9,P,PENNSYLVANIA,Baccalaureate
1923,Neumann University ,64800,2.0,34.0,93300.0,97.4,AP,PENNSYLVANIA,Baccalaureate
1924,Neumann University ,57700,2.0,37.0,83900.0,100.3,aP,PENNSYLVANIA,Baccalaureate
1925,Neumann University ,51500,2.0,6.0,78300.0,98.3,I,PENNSYLVANIA,Baccalaureate
1926,New College of Florida ,89000,1.0,30.0,117300.0,89.9,P,FLORIDA,Baccalaureate
1927,New College of Florida ,72800,3.6,22.0,96900.0,97.3,AP,FLORIDA,Baccalaureate
1928,New College of Florida ,63500,1.4,24.0,85600.0,90.9,aP,FLORIDA,Baccalaureate
1929,New College of Florida ,0,,3.0,,,I,FLORIDA,Baccalaureate
1930,New Jersey Institute of Technology ,187700,1.8,140.0,266400.0,92.3,P,JERSEY,Doctor
1931,New Jersey Institute of Technology ,134100,1.7,91.0,192500.0,100.0,AP,JERSEY,Doctor
1932,New Jersey Institute of Technology ,102500,2.1,74.0,147300.0,95.5,aP,JERSEY,Doctor
1933,New Jersey Institute of Technology ,0,,0.0,,,I,JERSEY,Doctor
1934,New York Institute of Technology ,133100,3.8,57.0,168400.0,92.2,P,YORK,Master
1935,New York Institute of Technology ,99800,3.0,100.0,134600.0,91.3,AP,YORK,Master
1936,New York Institute of Technology ,91400,2.7,71.0,116800.0,93.9,aP,YORK,Master
1937,New York Institute of Technology ,0,1.9,0.0,,,I,YORK,Master
1938,New York University ,214500,2.7,865.0,302500.0,88.9,P,YORK,Doctor
1939,New York University ,124900,2.9,514.0,177600.0,96.2,AP,YORK,Doctor
1940,New York University ,115200,4.1,308.0,161300.0,88.0,aP,YORK,Doctor
1941,New York University ,0,,0.0,,,I,YORK,Doctor
1942,Newberry College ,61900,0.8,17.0,84000.0,133.2,P,CAROLINA,Baccalaureate
1943,Newberry College ,52600,0.0,20.0,63200.0,91.1,AP,CAROLINA,Baccalaureate
1944,Newberry College ,49100,2.8,28.0,59100.0,106.5,aP,CAROLINA,Baccalaureate
1945,Newberry College ,0,,0.0,,,I,CAROLINA,Baccalaureate
